gen_id,cls,idx,attrs,text,raw,dedup_kept,judge_label,judge_conf,outcome
anxiety_0000,anxiety,0,"{'persona': 'a middle-aged caregiver', 'trigger': 'social situations', 'register': 'hesitant, lots of qualifiers like ""idk"" and ""maybe""', 'length': 'long'}","Okay, so this is… hard to even type, honestly. Last night was… a lot. The bridge club, you know? It’s just… everyone’s so *together*. Like, they’re laughing about things I don’t even understand, and they seem to just *know* what to say. I tried to chime in about Mrs. Henderson’s new rose bushes – I know she’s been working on them for months – and it just kind of… fizzled out. I don’t even remember what I said.

I feel like I’m watching a movie of everyone else’s lives and I’m just stuck behind a pane of glass, you know? Like I’m supposed to *feel* something, but I just...don’t. It’s not that I’m not *trying*, I really am. I wanted to be pleasant, I wanted to be a good member of the group, but it just feels… exhausting.

And then there's the small talk. Seriously, who talks about the weather for twenty minutes? I’d rather just… not. I felt this tightness in my chest the whole time, like a balloon slowly inflating. I kept wanting to just, like, excuse myself and go home. Maybe I should’ve. I don't know, maybe I should have just said I wasn't feeling well. I just… I don't want to seem rude. It's stupid, I guess. It's just… everything feels so amplified, like I'm hyper-aware of every little awkward moment. I dunno. It's just a lot, and I’m starting to feel really drained. Like I’ve run a marathon in my head. I should probably just… stay in tonight, yeah? Watch something mindless. Just… avoid.",,True,stress,0.9107398390769958,disagree
anxiety_0001,anxiety,1,"{'persona': 'a recently divorced person', 'trigger': 'social situations', 'register': 'lowercase, hurried, minimal punctuation', 'length': 'long'}","okay seriously i don't understand how people just...do it. like, go to parties or dinners or even just a coffee shop and it's just…fine. everyone’s laughing and talking and it’s all just normal. and i just…freeze. it’s like my brain just shuts down completely. i practiced saying hi to sarah from work today, just a simple ‘hi’ and i completely blanked. my mouth went dry and my hands started sweating and i think i actually mumbled something incoherent. she just smiled and said ‘hi back’ and then i wanted to crawl under a rock.

it's not even the talking part, i think. it’s the *being seen*. the feeling like everyone is judging me, like i'm a walking, talking mistake. i keep replaying everything that went wrong with mark, you know? every argument, every awkward silence, every time i said the wrong thing. and it's all swirling around in my head and it just makes everything feel…too bright. too loud. like i need to just disappear.

i tried going to that book club thing last week, the one lisa invited me to, and i spent the whole time staring at my shoes. i couldn't make eye contact with anyone, and i felt like everyone was noticing how quiet i was. i just kinda nodded along when they were talking about the book and then i made an excuse to leave early. i feel so pathetic. i know i *should* be over it, it’s been six months, but i just can’t seem to shake this feeling that i’m a burden, that i’m just…wrong. like i’m not meant to be around people. maybe i'll just stay home tonight. just…stay home.",,True,depression,0.9446368217468262,disagree
anxiety_0002,anxiety,2,"{'persona': 'a young professional', 'trigger': 'sleep problems', 'register': 'short and blunt', 'length': 'short'}","Ugh, can’t sleep. Just…racing thoughts. Like a broken record. Everything feels so heavy tonight. I keep tossing and turning, and it’s just making me more anxious. Seriously need to just switch off, but my brain won't let me.",,True,anxiety,0.9978301525115967,agree
anxiety_0003,anxiety,3,"{'persona': 'a recent graduate living back home', 'trigger': 'family conflict', 'register': 'long and rambling with run-on sentences', 'length': 'medium'}","Okay so like, I just… I don’t even know why Mom is yelling again. It’s always something, isn't it? My grades, my job search, the fact that I’m still living in my childhood bedroom. It’s like she just can’t stand that I haven’t figured everything out yet, you know? Like I’m supposed to just *know* what I’m doing and be, like, successful and independent. It's just… a lot. My chest feels tight, like someone’s wrapped me in a really heavy blanket, and I can’t breathe properly. Dad just looks at me, like he’s trying to understand, but he never really does, does he? I keep replaying everything in my head, all the things I said, all the things I didn’t say. It’s exhausting. Just… need to go lie down, I think. Maybe if I close my eyes it will just… stop.",,True,anxiety,0.9696698188781738,agree
anxiety_0004,anxiety,4,"{'persona': 'a young professional', 'trigger': 'pressure at work or school', 'register': 'short and blunt', 'length': 'short'}","Ugh, deadlines are a monster. Just staring at this spreadsheet and it’s like it’s actively judging me. My stomach is twisted into knots. I keep rereading everything, convinced I’ve messed it up somewhere. Need caffeine. Seriously, *need* caffeine.",,True,stress,0.9927962422370911,disagree
anxiety_0005,anxiety,5,"{'persona': 'a middle-aged caregiver', 'trigger': 'family conflict', 'register': 'lowercase, hurried, minimal punctuation', 'length': 'long'}","okay seriously i don't even know what's happening anymore. it's like a constant hum in my head, just a low thrum of…everything. mom’s yelling again, mostly about dinner, always about dinner. it’s stupid, i know, but it just…it just sets everything off. like a domino effect. i tried to make her the roast she likes, the one with the rosemary and garlic, and she said it was dry and tasteless and that i don’t *try* anymore. i did try! i spent two hours on it! and then my brother, mark, he just…he just rolled his eyes and said “well, that’s disappointing” like it’s some huge personal failing. he doesn’t even *look* at me when he talks to me, ever. it's like i'm invisible.

and dad…he just sits there, silent, watching. like he’s waiting for something awful to happen. i feel like i’m walking on eggshells all the time, afraid to breathe too loud, afraid to say the wrong thing. i keep replaying everything in my head, picking apart every word, every gesture, wondering if i could have done it differently, if i could have prevented this…this mess. my stomach is tied in knots, i feel dizzy sometimes, and my hands shake. i just want it to stop. i just want a moment of quiet, a moment where i don’t feel like i’m failing at everything. i just... i just wish they could see how much this is affecting me. it's like a weight, just crushing me. i don't even know how i'm going to get through tonight. i just need to breathe. please just let me breathe.",,True,depression,0.9354221820831299,disagree
anxiety_0006,anxiety,6,"{'persona': 'a recent graduate living back home', 'trigger': 'social situations', 'register': 'short and blunt', 'length': 'medium'}","Okay, seriously, I can’t. Just…can’t. Mom keeps asking about job prospects and it’s like a weight just crushing me. Every time someone asks me what I’m doing, I just kinda freeze. Like my brain shuts off. It’s stupid, I know, I have a degree. But everyone else seems to have it all figured out. They’re out there, you know? Building careers, moving out, having *lives*. And I’m here, eating cereal for dinner and feeling like a complete failure. My chest feels tight, like someone’s sitting on it. I just want to disappear, honestly. It’s not that I *want* to hurt myself, it’s just…this constant feeling of being stuck. Like I'm drowning in everything and nothing at once.",,True,stress,0.8596745729446411,disagree
anxiety_0007,anxiety,7,"{'persona': 'a university student in exam season', 'trigger': 'loneliness and isolation', 'register': 'short and blunt', 'length': 'short'}","Everyone else seems to be studying together, laughing, actually *doing* something. I'm just...here. In my room. Surrounded by books. It’s so quiet, and it’s freaking me out. Like, I can't even breathe properly.",,True,anxiety,0.9751450419425964,agree
anxiety_0008,anxiety,8,"{'persona': 'a middle-aged caregiver', 'trigger': 'social situations', 'register': 'short and blunt', 'length': 'long'}","Okay, seriously, I don’t get it. I just… don’t. Everyone else seems to just *do* these things. Like, they walk into a room and instantly know what to say, how to act. I spent an hour planning my outfit for this book club meeting – dark jeans, that blue sweater, sensible shoes – and it felt like I’d built a fortress around myself. And then I was *there*, surrounded by people talking about… books. And wine. And apparently, their grandkids.

It’s not that I don’t *want* to talk. It's just... the words get stuck. Like they're coated in cement. I tried to say something about the plot of the book, and I just mumbled something about it being “interesting.” Interesting! Seriously? That’s the best I could come up with?

My husband keeps saying I’m being too hard on myself, that people are just being friendly. But it doesn't feel friendly. It feels like everyone's judging me, like I’m the weird one. Like I’m failing at being a normal adult. God, I feel so stupid. I just want to go home and curl up on the sofa with a cup of tea and pretend the world doesn’t exist. This constant feeling of… wrongness. It’s exhausting. I keep replaying it in my head, every awkward pause, every mumbled sentence. It's like a record stuck on repeat. I just... need to breathe. Just need to get out of here.",,True,depression,0.8801055550575256,disagree
anxiety_0009,anxiety,9,"{'persona': 'a recently divorced person', 'trigger': 'money problems', 'register': 'lowercase, hurried, minimal punctuation', 'length': 'short'}",it's just...the bills. they keep piling up and i can’t even breathe. everything feels so tight and wrong like a knot in my stomach i just want it to stop. i don’t know how i’m going to manage honestly i just keep spiraling.,,True,stress,0.9925066828727722,disagree
