gen_id,cls,idx,attrs,text,raw,dedup_kept,judge_label,judge_conf,outcome
anxiety_0000,anxiety,0,"{'persona': 'a middle-aged caregiver', 'trigger': 'social situations', 'register': 'hesitant, lots of qualifiers like ""idk"" and ""maybe""', 'length': 'long'}","idk, i'm just really nervous about this thing that's happening tomorrow. my daughter's school is having a big event, like a fundraiser or something, and she's been chosen to be the emcee. i know, i know, she's super smart and capable, but the thought of her getting up on stage in front of all those people is just giving me the heebie-jeebies.

i keep replaying all these ""what if"" scenarios in my head. what if she forgets her lines? what if she trips on stage? what if the microphone doesn't work? and then there's the whole thing about getting up in front of all those parents and teachers, and what if they're all judging her? ugh, just thinking about it is making me anxious.

i try to remind myself that she's prepared, that she's got this, but my mind just won't shut off. i keep thinking about all the things that could go wrong, and before i know it, i'm picturing her standing on stage, sweating bullets and trying to get through the presentation. i know it's not rational, but it's hard not to picture the worst-case scenario.

i'm also worried about the speech she's supposed to give, it's like, a whole minute long or something, and what if she stammers or forgets her words? and what if she gets the crowd to be mean to her or something? idk, it's all just really overwhelming.

i guess what i'm trying to say is, i'm just really proud of her and i want everything to go smoothly, but at the same time, i don't want to put too much pressure on her, either. maybe i'm just being too paranoid, but the thought of her up on stage, trying to navigate all that, is just giving me the anxiety of a thousand suns. i just wish i could shake this feeling, you know?",,True,anxiety,0.9939491748809814,agree
anxiety_0001,anxiety,1,"{'persona': 'a recently divorced person', 'trigger': 'social situations', 'register': 'lowercase, hurried, minimal punctuation', 'length': 'long'}","okay i'm at my sister's birthday party and i just got there and i'm already dying from anxiety who am i kidding i've been dreading this all week since it's a family gathering and we'll all be there and they'll all be asking me about my ex and how we're divorced and what happened and i just can't even i keep thinking about all the times he looked at me and smiled and i know he's moved on but i just can't stop thinking about it and i feel like everyone else can see the awkwardness between us and it's just so hard to pretend like everything is fine

my mind is racing and i can feel my heart pounding in my chest and my palms are sweating and i just want to get out of here and go home and crawl into bed but at the same time i don't want to give my sister the satisfaction of seeing me like this i want to be strong and happy and move on but it's all just so overwhelming and i feel like i'm going to pass out or something

i keep looking around the room and everyone is smiling and laughing and having a good time except me and my ex and we're just standing here in silence and it's like we're the only ones who remember that it all ended in a messy divorce and i hate that i'm still so caught up in all the drama and what-ifs and i just wish i could just blink and make it all go away but it's not that easy

my breathing is shallow and i feel like i'm going to hyperventilate if i don't calm down soon and i just want to find a way to get through this without losing my mind or making a total fool of myself but at the same time i don't want to pretend like everything is okay when it's not because that's just not real and i need to find a way to deal with all of this before it tears me apart",,True,anxiety,0.9977136254310608,agree
anxiety_0002,anxiety,2,"{'persona': 'a young professional', 'trigger': 'sleep problems', 'register': 'short and blunt', 'length': 'short'}","tonight's the last night before the big presentation and i'm already having a panic attack in my sleep, my chest is tight and i can barely breathe, what if i mess up in front of my bosses and my career is ruined? i've been lying awake all day replaying all the worst-case scenarios and i just want to crawl under a rock and hide",,True,anxiety,0.9424193501472473,agree
anxiety_0003,anxiety,3,"{'persona': 'a recent graduate living back home', 'trigger': 'family conflict', 'register': 'long and rambling with run-on sentences', 'length': 'medium'}","i cant even begin to explain to you guys how im feeling right now, im supposed to start my new job in like 2 weeks and my mom is already freaking out about it, she keeps saying im not ready, that i need more experience, more training, more time to settle in. and honestly, she doesnt get it, im supposed to take the leap, right? but every time i try to calm her down, she just starts asking me what im going to do with my life, what if im bored, what if im failing, and these questions just keep spiraling out of control in my head. my heart is literally racing just thinking about all the things that could go wrong, my chest feels tight and i can feel myself getting all sweaty. i try to tell myself that im fine, that im going to crush it, but the doubts keep creeping in, what if i'm not good enough? what if i just disappoint everyone? it feels like the weight of the world is crushing me and i just dont know how to breathe",,True,stress,0.9957355260848999,disagree
anxiety_0005,anxiety,5,"{'persona': 'a middle-aged caregiver', 'trigger': 'family conflict', 'register': 'lowercase, hurried, minimal punctuation', 'length': 'long'}",i cant sleep my mind keeps racing about the fight between my kids tomorrow i've been trying to stay out of it but its hard not to get pulled in its not just the fighting its the silence afterwards too the looks they give each other when they think i'm not looking its like theyre plotting against me again and again i think about all the times theyve done it in the past and how i always end up walking on eggshells trying to keep the peace but what if i fail what if they turn on me i can already feel the knot in my chest getting tighter the air in my lungs feels stale and im getting this awful feeling in my stomach like there's a tight band wrapping around it i try to shake it off but its no use im wide awake now and the clock is ticking i keep thinking about all the things that could go wrong and the ways in which i could screw it up again and again i feel like im trapped in this cycle of anxiety and i dont know how to escape it i keep thinking about my own childhood and how my parents always fought and how i learned to just deal with it but now its my turn to be the adult and its hard to remember that sometimes i feel like i'm just as lost and scared as my kids are,,True,anxiety,0.9985267519950867,agree
anxiety_0006,anxiety,6,"{'persona': 'a recent graduate living back home', 'trigger': 'social situations', 'register': 'short and blunt', 'length': 'medium'}","ugh i've been lying awake thinking about this party my family's having this weekend and i'm literally freaking out about what to wear. like seriously what even is the dress code. is it black tie or do i just wear whatever. my heart's been racing and i feel like i'm going to puke. every time i try to think of something, i end up overthinking it and getting anxious about what everyone else is going to think. my chest feels tight and i just want to crawl under a rock. why did i have to move back home anyway. just a week ago i was out with friends, feeling like a normal adult, and now i'm going to be stuck in this awkward small town situation. what if i run into my ex or something. what if no one wants to hang out with me. ugh my mind's a million miles away and i just want to sleep. why can't i just relax for one second",,True,anxiety,0.9962685704231262,agree
anxiety_0009,anxiety,9,"{'persona': 'a recently divorced person', 'trigger': 'money problems', 'register': 'lowercase, hurried, minimal punctuation', 'length': 'short'}",i just got my ex's new girlfriend's name and it's some company that just went bankrupt i can already imagine myself wondering how i'm gonna pay the bills this month and the panic is setting in my chest feels tight and i can feel my heart racing my palms are sweating thinking about all the uncertain expenses ahead,,True,stress,0.9047858715057373,disagree
anxiety_0010,anxiety,10,"{'persona': 'someone recently unemployed', 'trigger': 'social situations', 'register': 'short and blunt', 'length': 'short'}",i've got a dinner party at my friend's place tomorrow and i'm totally freaking out. what if i say something stupid? what if i spill something on my shirt? what if we run out of food and i end up eating stale crackers for dinner? my chest is already tight and i can feel my heart racing just thinking about it,,True,anxiety,0.9859352707862854,agree
anxiety_0012,anxiety,12,"{'persona': 'a night-shift worker', 'trigger': 'pressure at work or school', 'register': 'short and blunt', 'length': 'long'}","i'm sitting at my desk at 2am, staring at the same spreadsheet for the 5th time tonight, and my mind is going haywire. the thought of not meeting this deadline is creeping up on me like a nightmare, and i can feel my heart racing with every tick of the clock. it's not even like the deadline is until tomorrow morning, but somehow my brain is convinced that the world is going to come to an end if i don't nail this report tonight.

my palms are sweating, my chest is tight, and i can feel my breath catching in my throat. i try to focus on the numbers, but my mind keeps wandering to all the what-ifs. what if i miss something crucial? what if my boss finds out i messed up the figures? what if i fail? the more i think about it, the more my anxiety kicks in and my brain goes into overdrive.

i've been working non-stop for weeks, and the pressure is starting to take its toll. i'm not even sure how much longer i can keep this up. but i know i have to try, because if i don't deliver, i'll be the one who gets fired. or worse, my reputation will be ruined.

i take a few deep breaths, trying to calm myself down, but it's no use. my mind is racing, and my body is telling me that something is wrong. i'm not sure how much more of this i can take. maybe i need to talk to someone, or maybe i just need to get out of here and clear my head. but for now, i'm stuck at this desk, staring at the spreadsheet, and wondering how i'm going to make it through the night without losing my mind.",,True,stress,0.979224681854248,disagree
anxiety_0013,anxiety,13,"{'persona': 'a middle-aged caregiver', 'trigger': 'no single clear trigger', 'register': 'short and blunt', 'length': 'long'}","i'm trying to plan a surprise birthday party for my daughter, but my mind is a jumble of what-ifs and maybes. what if she doesn't like the theme i chose? what if the cake is too messy or the decorations aren't enough? what if she hates the gifts i've gotten her and feels like i didn't even try?

i've been researching and making lists all morning, trying to cover every possible scenario, but it's not calming me down, just fueling my worry. my chest feels tight, like i'm holding my breath, and my heart is racing in my ears. i can feel my palms sweating just thinking about the guests and the logistics of it all.

i keep thinking about all the times i've blown it, the times i've forgotten something important or messed up a surprise. it's like my brain is a broken record, playing the same anxious thoughts over and over. why can't i just relax for one minute?

i know i need to take a deep breath and try to focus, but it's hard when every possibility feels like a disaster waiting to happen. i keep thinking about all the things that could go wrong and i can feel my anxiety spilling over into my daily routine. i'm just trying to make this one day special for my daughter, but it feels like the whole world is counting on me.

i just wish i could turn off my inner critic and just enjoy the surprise, but it's like i'm stuck in this cycle of fear and doubt. i know i need to find a way to break free, but for now, i'm stuck in this whirlpool of worry and fear, unable to escape",,True,anxiety,0.9778614044189453,agree
